종목명,날짜,지분율(퍼센트)
(주)제주항공,2024-06-24,7.09
(주)영원무역홀딩스,2024-06-24,5.01
에이치디현대미포,2024-06-24,10.18
티이엠씨(주),2024-06-25,5.62
(주)제일기획,2024-06-25,10.19
(주)DB하이텍,2024-06-25,7.29
쿠쿠홈시스,2024-06-25,4.1
(주)케이씨텍,2024-06-25,7.53
(주)이마트,2024-06-26,5.89
에이치디씨현대산업개발,2024-06-26,8.59
CJ제일제당(주),2024-06-26,12.87
(주)제이에스코퍼레이션,2024-06-26,5.04
자화전자(주),2024-06-27,8.09
엘지디스플레이(주),2024-06-27,5.02
(주)파마리서치,2024-06-27,5.8
(주)풍산,2024-06-27,9.19
(주)원익큐엔씨,2024-06-28,9.49
삼성증권(주),2024-06-28,11.61
세아베스틸지주,2024-07-02,6.36
세아제강지주,2024-07-02,11.21
애경케미칼(주),2024-07-02,5.01
피에스케이홀딩스(주),2024-07-03,3.98
원텍(주),2024-07-03,3.89
NH투자증권(주),2024-07-04,7.29
(주)LG생활건강,2024-07-04,9.22
(주)제이에스코퍼레이션,2024-07-05,3.89
(주)세아제강,2024-07-08,4.07
CJ(주),2024-07-08,12.02
(주)제이브이엠,2024-07-09,3.92
현대오토에버,2024-07-09,6.5
아세아시멘트(주),2024-07-09,4.01
대상(주),2024-07-10,12.72
(주)에이피알,2024-07-11,8.38
삼성증권(주),2024-07-11,12.61
(주)디아이,2024-07-11,3.7
(주)신세계인터내셔날,2024-07-12,8.01
(주)엘엑스홀딩스,2024-07-15,4
(주)제이엘케이,2024-07-15,3.4
대주전자재료(주),2024-07-15,4.07
디와이파워(주),2024-07-15,5.83
(주)아이에스시,2024-07-15,4.19
롯데쇼핑(주),2024-07-16,5.99
(주)성광벤드,2024-07-16,6.05
(주)케이씨텍,2024-07-16,8.55
(주)SBS,2024-07-16,9.5
엘아이지넥스원(주),2024-07-17,9.67
(주)케이씨씨,2024-07-17,10.15
(주)테크윙,2024-07-17,3.93
한일시멘트(주),2024-07-18,4
엔에이치엔(주),2024-07-18,7.47
SK케미칼(주),2024-07-19,5.26
(주)DGB금융지주,2024-07-22,6.77
에이치디현대인프라코어,2024-07-23,10.49
한국단자공업(주),2024-07-23,10.19
에이치디현대건설기계,2024-07-24,9.26
에이치디씨현대산업개발,2024-07-24,9.61
주성엔지니어링(주),2024-07-25,3.94
(주)원익큐엔씨,2024-07-26,8.42
(주)두산,2024-07-29,8.47
삼성전기(주),2024-07-29,9.81
(주)풍산,2024-07-30,8.18
일진전기(주),2024-07-31,3.99
한국전력기술(주),2024-07-31,8.39
에이치디현대미포,2024-08-01,11.25
(주)DB하이텍,2024-08-01,9.32
효성티앤씨,2024-08-01,9.06
해성디에스(주),2024-08-02,7.23
한미반도체(주),2024-08-02,5.39
리노공업(주),2024-08-02,4.41
(주)코스메카코리아,2024-08-05,12.15
티이엠씨(주),2024-08-06,4.6
솔루엠,2024-08-06,6.78
(주)씨앤씨인터내셔널,2024-08-07,7.08
한올바이오파마(주),2024-08-08,10.49
진에어,2024-08-08,6.23
케이카(주),2024-08-09,4.08
에스케이디스커버리(주),2024-08-09,4.21
피에스케이(주),2024-08-13,6.09
(주)아모레퍼시픽,2024-08-16,6.4
동국제강,2024-08-19,5.15
그랜드코리아레저(주),2024-08-20,7.87
(주)대웅제약,2024-08-20,10.19
(주)리가켐 바이오사이언스,2024-08-20,5.08
에이치디씨현대산업개발,2024-08-21,10.87
오씨아이홀딩스,2024-08-23,7.38
(주)유한양행,2024-08-26,7.76
(주)에이치에스효성,2024-08-27,4.55
지에스건설(주),2024-08-27,9.51
(주)녹십자,2024-08-28,9.76
삼화전기(주),2024-08-29,10.13
팬오션(주),2024-08-29,6.55
(주)하나투어,2024-08-30,6.63
(주)시프트업,2024-08-30,6.15
에이치디현대,2024-09-02,8.56
(주)한솔케미칼,2024-09-02,9.81
코미코,2024-09-04,5.09
씨제이대한통운(주),2024-09-04,10.33
(주)이수페타시스,2024-09-04,10.74
코스맥스(주),2024-09-04,10.9
(주)에코프로머티리얼즈,2024-09-05,5.03
대한유화(주),2024-09-05,8.27
덴티움,2024-09-05,7.88
(주)에스앤에스텍,2024-09-06,4.25
하나머티리얼즈,2024-09-06,4.29
한국투자금융지주(주),2024-09-09,9.73
에이피시스템(주),2024-09-09,3.8
에이치디씨현대산업개발,2024-09-10,11.88
(주)뷰노,2024-09-10,5.11
코리안리재보험(주),2024-09-10,7.4
STX엔진(주),2024-09-11,8.25
(주)비지에프리테일,2024-09-11,7.25
삼성카드(주),2024-09-11,6.02
엘에스일렉트릭,2024-09-12,8.82
(주)이마트,2024-09-12,7.95
덕산네오룩스(주),2024-09-19,5.59
JW중외제약(주),2024-09-19,5.02
(주)지아이이노베이션,2024-09-23,5.04
(주)제주항공,2024-09-25,6.08
SK네트웍스(주),2024-09-25,5.33
자화전자(주),2024-09-25,7.05
(주)엠로,2024-09-26,6.33
넷마블,2024-09-27,5.15
(주)비에이치,2024-09-27,7.19
(주)클리오,2024-09-27,5
한화인더스트리얼솔루션즈㈜,2024-09-27,6.34
(주)이녹스첨단소재,2024-09-27,5.06
엘지이노텍(주),2024-09-30,9.45
에이치케이이노엔(주),2024-09-30,7.28
CJ제일제당(주),2024-09-30,11.86
(주)대웅,2025-01-07,5.01
두산로보틱스(주),2025-01-07,5.01
지에스건설(주),2025-01-09,8.47
DL,2025-01-09,10.15
(주)신세계푸드,2025-01-10,4.04
(주)TCC스틸,2025-01-10,5
SK이노베이션(주),2025-01-10,6.07
하나머티리얼즈,2025-01-13,5.01
LS에코에너지,2025-01-13,6.04
디아이동일(주),2025-01-15,5.18
(주)호텔신라,2025-01-15,5.01
오씨아이홀딩스,2025-01-16,8.49
(주)풍산,2025-01-17,8.17
(주)에프앤에프,2025-01-17,7.31
롯데정밀화학(주),2025-01-20,8.89
진에어,2025-01-20,4.01
에이치디현대마린엔진,2025-01-21,5.01
한화엔진,2025-01-21,11.8
DB손해보험(주),2025-01-21,7.21
(주)삼양홀딩스,2025-01-21,4.79
LX인터내셔널,2025-01-21,9.84
(주)에스티아이,2025-01-22,7.27
(주)이노션,2025-01-22,8.02
에이치디현대미포,2025-01-23,11.22
(주)씨앤씨인터내셔널,2025-01-23,3.89
롯데칠성음료(주),2025-01-31,8.71
SNT모티브(주),2025-01-31,8.41
두산에너빌리티,2025-02-03,7.86
삼화전기(주),2025-02-03,7.82
(주)제주항공,2025-02-03,5.05
동아에스티(주),2025-02-04,6.81
(주)한화,2025-02-04,6.16
(주)더존비즈온,2025-02-05,10.33
씨에스윈드(주),2025-02-05,8.9
(주)아모레퍼시픽,2025-02-06,7.42
올릭스,2025-02-07,3.78
비에이치아이주식회사,2025-02-07,3.96
(주)BNK금융지주,2025-02-10,9.63
한국투자금융지주(주),2025-02-10,11.8
피엔에이치테크,2025-02-12,7.13
대덕전자(주),2025-02-12,8.38
(주)진시스템,2025-02-12,6.08
(주)하나투어,2025-02-12,8.78
현대건설(주),2025-02-14,9.07
씨제이대한통운(주),2025-02-17,11.42
그랜드코리아레저(주),2025-02-17,6.84
(주)이녹스첨단소재,2025-02-18,6.04
(주)비지에프리테일,2025-02-18,8.27
대한전선(주),2025-02-18,6.03
(주)DGB금융지주,2025-02-19,7.78
(주)한솔케미칼,2025-02-19,12.15
(주)엠로,2025-02-19,7.22
(주)현대백화점,2025-02-20,10.88
하나머티리얼즈,2025-02-21,6.09
(주)SBS,2025-02-21,10.51
(주)경동나비엔,2025-02-24,8.16
대주전자재료(주),2025-02-25,5.1
두산밥캣(주),2025-02-25,8.41
(주)와이지엔터테인먼트,2025-02-26,5.03
STX엔진(주),2025-02-26,10.36
현대코퍼레이션,2025-02-26,5.96
(주)두산테스나,2025-02-27,5.03
(주)LG유플러스,2025-02-28,7.37
(주)케이티앤지,2025-02-28,7.5
(주)실리콘투,2025-03-04,3.87
(주)디아이,2025-03-04,3.77
HL만도,2025-03-05,12.73
(주)영원무역홀딩스,2025-03-05,3.99
(주)세아제강,2025-03-05,6.62
화승인더스트리(주),2025-03-06,6.05
(주)화승엔터프라이즈,2025-03-06,6.13
넥센타이어(주),2025-03-06,5.03
(주)원익큐엔씨,2025-03-06,6.34
(주)카카오뱅크,2025-03-07,6.01
일진전기(주),2025-03-07,8.59
(주)포스코디엑스,2025-03-07,5.01
(주)이마트,2025-03-07,12.25
금호석유화학(주),2025-03-07,10.85
현대제철(주),2025-03-07,9.31
(주)한솔케미칼,2025-03-07,13.15
에이치디현대인프라코어,2025-03-10,11.49
(주)신세계,2025-03-10,11.59
코스모신소재(주),2025-03-10,5.01
해성디에스(주),2025-03-11,8.29
한솔제지(주),2025-03-12,4.49
(주)지에스피앤엘,2025-03-12,6.59
(주)성광벤드,2025-03-12,6.14
엘에스일렉트릭,2025-03-12,8.79
롯데케미칼(주),2025-03-12,7.39
에이치디씨현대산업개발,2025-03-13,12.94
에스케이위탁관리부동산투자,2025-03-13,5
티케이지휴켐스,2025-03-13,8.16
산일전기,2025-03-13,6.24
네이버(주),2025-03-13,9.24
(주)오리온홀딩스,2025-03-14,4.07
한화비전,2025-03-14,8.5
한화엔진,2025-03-14,10.8
(주)케이씨씨,2025-03-14,12.25
SKC(주),2025-03-14,6.02
동성화인텍,2025-03-14,5.01
(주)에스앤에스텍,2025-03-17,5
피에스케이(주),2025-03-18,8.12
포스코홀딩스,2025-03-19,8.29
미래에셋증권(주),2025-03-21,6.15
덕산네오룩스(주),2025-03-21,5.66
삼화콘덴서공업(주),2025-03-21,5.15
한올바이오파마(주),2025-03-21,9.33
한국콜마(주),2025-03-24,13.49
에이치엠엠,2025-03-24,6.02
(주)이수페타시스,2025-03-24,13.47
한세실업(주),2025-03-26,10.08
(주)LG화학,2025-03-26,8.64
명신산업,2025-03-26,4.26
대한유화(주),2025-03-27,9.3
(주)테스,2025-03-27,6.08
(주)빙그레,2025-03-27,6.09
SK스퀘어,2025-04-02,7.67
(주)티씨케이,2025-04-02,5.01
한화비전,2025-04-04,9.54
(주)엠로,2025-04-07,8.28
(주)BNK금융지주,2025-04-07,8.57
(주)포스코디엑스,2025-04-09,6.02
피엔에이치테크,2025-04-10,4.99
하나머티리얼즈,2025-04-16,4.93
현대위아(주),2025-04-16,9.29
(주)이수페타시스,2025-04-18,12.11
에이치디현대마린솔루션(주),2025-04-18,7.23
CJ(주),2025-04-18,13.04
STX엔진(주),2025-04-21,6.07
(주)더블유게임즈,2025-04-22,7.96
세방전지(주),2025-04-22,8.41
(주)성광벤드,2025-04-23,5.07
한화엔진,2025-04-23,11.8
(주)한글과컴퓨터,2025-04-23,5.05
에이치디현대중공업,2025-04-28,7.38
에이치디현대건설기계,2025-04-30,10.29
(주)리가켐 바이오사이언스,2025-04-30,5.02
(주)아이엠금융지주,2025-05-02,8.83
현대건설(주),2025-05-08,11.2
세아제강지주,2025-05-08,12.22
(주)코스메카코리아,2025-05-08,10.93
롯데칠성음료(주),2025-05-08,7.65
(주)경동나비엔,2025-05-08,9.16
(주)두산테스나,2025-05-08,4.02
비나텍(주),2025-05-09,5.22
삼양식품(주),2025-05-09,9.46
(주)태광,2025-05-12,3.73
(주)LG유플러스,2025-05-12,8.42
(주)신세계,2025-05-12,12.7
덴티움,2025-05-12,6.82
한일시멘트(주),2025-05-12,5
(주)엘지씨엔에스,2025-05-13,5.05
지에스건설(주),2025-05-14,9.49
(주)인터로조,2025-05-14,4.65
일진전기(주),2025-05-14,7.58
한미약품(주),2025-05-15,11.53
CJ제일제당(주),2025-05-15,10.83
(주)메디톡스,2025-05-16,5.08
(주)디어유,2025-05-16,5.1
(주)후성,2025-05-16,4.17
(주)유니드,2025-05-19,7.07
한국투자금융지주(주),2025-05-20,12.86
디엘이앤씨,2025-05-20,12.21
에스케이오션플랜트(주),2025-05-20,9.12
(주)제이와이피엔터테인먼트,2025-05-20,5.03
쿠쿠홈시스,2025-05-21,5.07
(주)에코프로머티리얼즈,2025-05-21,4.01
넥센타이어(주),2025-05-21,4.01
삼화전기(주),2025-05-22,5.52
그랜드코리아레저(주),2025-05-22,7.86
한국전력공사(주),2025-05-23,7.9
(주)제주항공,2025-05-26,4.03
(주)호텔신라,2025-05-26,7.02
세아베스틸지주,2025-05-27,7.37
(주)한미글로벌건축사사무소,2025-05-27,5.21
덕산네오룩스(주),2025-05-27,7.84
(주)카카오,2025-05-27,6.4
롯데쇼핑(주),2025-05-28,9.14
디아이동일(주),2025-05-28,4.16
삼화콘덴서공업(주),2025-05-29,4.14
(주)현대백화점,2025-05-29,12.99
(주)에스앤에스텍,2025-05-29,3.86
현대코퍼레이션,2025-06-02,4.95
(주)세아제강,2025-06-02,5.21
(주)원익큐엔씨,2025-06-02,4.23
SK케미칼(주),2025-06-02,7.49
(주)비지에프리테일,2025-06-04,9.31
HL홀딩스,2025-06-04,6.41
지에스건설(주),2025-06-05,10.76
롯데관광개발(주),2025-06-05,7.05
(주)와이지엔터테인먼트,2025-06-05,7.24
현대위아(주),2025-06-09,8.22
현대오토에버,2025-06-09,8.22
대주전자재료(주),2025-06-10,4.09
(주)엘앤에프,2025-06-10,4.86
(주)브이티,2025-06-11,5.06
대신증권(주),2025-06-12,5
현대해상화재보험(주),2025-06-12,8.36
한국전력기술(주),2025-06-12,9.52
(주)시프트업,2025-06-12,6.08
(주)SBS,2025-06-12,11.52
(주)이녹스첨단소재,2025-06-13,5.01
엔에이치엔(주),2025-06-13,7.57
대한해운(주),2025-06-13,3
NH투자증권(주),2025-06-16,9.38
(주)비에이치,2025-06-16,3.94
(주)지에스피앤엘,2025-06-17,5.39
(주)에스티아이,2025-06-17,6.26
한화투자증권(주),2025-06-17,7.11
오씨아이(주),2025-06-17,5.36
HDC(주),2025-06-17,5.05
삼성SDI(주),2025-06-17,6.87
에이치디현대에너지솔루션,2025-06-17,3.88
ESR켄달스퀘어리츠,2025-06-18,6.83
(주)오뚜기,2025-06-18,4.99
(주)이마트,2025-06-18,12.19
에이치디현대인프라코어,2025-06-18,12.5
에이치디현대마린엔진,2025-06-18,6.09
(주)미코,2025-06-18,5.09
(주)농심,2025-06-18,9.99
HL만도,2025-06-19,10.69
현대엘리베이터(주),2025-06-19,9.27
산일전기,2025-06-20,7.26
두산밥캣(주),2025-06-23,7.35
한세실업(주),2025-06-23,8
JW중외제약(주),2025-06-24,4.01
현대제철(주),2025-06-25,10.44
해성디에스(주),2025-06-25,5.11
(주)한섬,2025-06-26,6.2
피아이첨단소재(주),2025-06-27,5.69
(주)한국카본,2025-06-27,7.25
엠앤씨솔루션,2025-06-27,6.16
(주)원익머트리얼즈,2025-06-30,8.64
(주)엔씨소프트,2025-06-30,8.34
넷마블,2025-06-30,6.15
(주)하나투어,2025-07-01,10.89
SK가스(주),2025-10-01,5
알에프에이치아이씨(주),2025-10-01,6.11
(주)오리온,2025-10-02,8.12
LX인터내셔널,2025-10-02,8.74
SK스퀘어,2025-10-10,8.8
(주)화승엔터프라이즈,2025-10-10,3.98
아모레퍼시픽홀딩스,2025-10-10,6.07
케이씨씨글라스,2025-10-13,6.01
한국전력기술(주),2025-10-14,10.57
포스코퓨처엠,2025-10-14,5.04
(주)브이티,2025-10-14,4.02
(주)케이씨씨,2025-10-14,11.23
DL,2025-10-15,9.02
(주)제일기획,2025-10-15,10.18
(주)두산테스나,2025-10-16,5.15
(주)더블유게임즈,2025-10-20,6.92
동국제강,2025-10-20,4.18
(주)유비쿼스,2025-10-23,5
(주)이녹스첨단소재,2025-10-24,3.97
(주)농심,2025-10-24,7.91
한국단자공업(주),2025-10-24,9.19
대한유화(주),2025-10-24,10.39
(주)아이에스시,2025-10-24,6.16
(주)유니드,2025-10-28,5.92
(주)한글과컴퓨터,2025-10-28,4.04
대한광통신(주),2025-10-28,5.11
(주)유진테크,2025-10-28,6.02
에스케이오션플랜트(주),2025-10-28,8
(주)미코,2025-10-29,3.8
씨에스윈드(주),2025-10-30,7.88
엘지이노텍(주),2025-10-31,9.46
(주)에스에프에이,2025-11-03,4.29
덕산네오룩스(주),2025-11-03,7.9
(주)디어유,2025-11-05,4.08
하이록코리아(주),2025-11-05,5.12
(주)TCC스틸,2025-11-05,3.98
케이씨씨글라스,2025-11-11,5
(주)제이와이피엔터테인먼트,2025-11-12,4.91
코스맥스(주),2025-11-12,11.91
오씨아이홀딩스,2025-11-12,11.72
한화엔진,2025-11-12,9.76
(주)경동나비엔,2025-11-13,8.12
한국콜마(주),2025-11-13,9.34
(주)하나투어,2025-11-13,7.72
(주)이수페타시스,2025-11-14,11.01
(주)테스,2025-11-17,8.43
세아제강지주,2025-11-17,11.06
(주)진성티이씨,2025-11-20,7.12
(주)엔씨소프트,2025-11-20,7.13
비나텍(주),2025-11-21,5.23
(주)한국카본,2025-11-21,9.49
(주)파라다이스,2025-11-21,7.13
디와이파워(주),2025-11-24,5.02
삼성에피스홀딩스(주),2025-11-24,6.7
(주)이마트,2025-11-24,7.89
하이트진로(주),2025-11-25,5
(주)테크윙,2025-11-26,4.06
(주)케이씨,2025-11-26,5
(주)와이지엔터테인먼트,2025-11-26,5.09
엠앤씨솔루션,2025-11-26,7.26
동아에스티(주),2025-11-27,5.78
(주)대한항공,2025-11-28,7.01
(주)우신시스템,2025-11-28,4.09
에이치디현대미포,2025-12-01,0
SNT에너지,2025-12-01,4.07
(주)지에스피앤엘,2025-12-02,6.06
에스엘(주),2025-12-03,8.24
삼성전기(주),2025-12-03,10.92
에스티팜(주),2025-12-03,5.02
솔루스첨단소재,2025-12-03,4.03
(주)진시스템,2025-12-04,4.02
디엘이앤씨,2025-12-04,8.06
한화비전,2025-12-04,7.44
CJ제일제당(주),2025-12-05,7.81
(주)엘앤에프,2025-12-08,8.37
감성코퍼레이션(주),2025-12-09,4.03
(주)녹십자,2025-12-11,7.69
엘아이지넥스원(주),2025-12-12,8.66
한세실업(주),2025-12-12,6.1
S-Oil(주),2025-12-12,8.31
한올바이오파마(주),2025-12-12,8.3
삼화전기(주),2025-12-15,7.29
(주)달바글로벌,2025-12-15,6.28
(주)제이에스코퍼레이션,2025-12-16,6.08
코오롱인더스트리(주),2025-12-16,7.74
(주)코리아써키트,2025-12-16,5.05
HL홀딩스,2025-12-16,8.41
(주)한섬,2025-12-17,6.29
(주)더존비즈온,2025-12-17,8.22
STX엔진(주),2025-12-17,6.5
(주)오스코텍,2025-12-17,3.87
해성디에스(주),2025-12-18,7.19
(주)에스투더블유,2025-12-19,5.41
현대엘리베이터(주),2025-12-19,10.28
대상(주),2025-12-19,11.68
에이치디씨현대산업개발,2025-12-22,10.45
(주)케이씨텍,2025-12-22,7.52
(주)에이치브이엠,2025-12-22,4.46
브이엠(주),2025-12-23,5.05
KG스틸,2025-12-24,4
현대위아(주),2025-12-26,9.36
아이에스동서(주),2025-12-26,4.89
피에스케이(주),2025-12-29,8.14
(주)에스티아이,2025-12-29,7.43
(주)태광,2025-12-29,6.65
HL만도,2025-12-30,13.05
하나머티리얼즈,2025-12-30,5.01
덴티움,2025-12-30,5.78
코스모신소재(주),2025-12-30,4
롯데관광개발(주),2025-12-30,10.38
한온시스템(주),2025-12-31,5.3
