기준년월,구분,기간수익률,연환산수익률,전년도수익률,전년도수익금,3개년수익률,3개년수익금,5개년수익률,5개년수익금,설정후수익률,설정후수익금
2024-04,금융부문(대체투자),6.47,6.47,5.8,8833,11.39,42870,,,9.28,88122
2024-04,금융부문(전체),5.88,6.52,13.61,126686,5.04,138331,,,5.88,558047
2024-04,금융부문(해외주식),13.75,13.75,23.89,59907,11.96,85556,,,11.04,167506
2024-04,금융부문(해외채권),5.46,6.74,8.84,6087,3.47,6526,,,4.02,19886
2024-04,기금 전체,5.87,6.52,13.59,126715,5.04,138378,,,5.92,577999
2024-04,기타부문,0.52,1.58,2.09,28,1.22,50,,,1.48,269
2024-04,복지부문,0.76,0.83,0.94,2,-0.46,-3,,,5.74,601
2024-05,금융부문(국내주식),2.23,2.23,22.12,27438,0.21,957,,,6.53,105064
2024-05,금융부문(국내채권),0.04,1.57,7.4,24492,0.15,1519,,,3.61,175606
2024-05,금융부문(단기자금),2.48,2.48,4.23,181,1.63,197,,,3.18,1767
2024-05,금융부문(대체투자),6.76,6.76,5.8,8833,11.39,42870,,,9.28,88122
2024-05,금융부문(전체),6.68,7.24,13.61,126686,5.04,138331,,,5.88,558047
2024-05,금융부문(해외주식),16.13,16.13,23.89,59907,11.96,85556,,,11.04,167506
2024-05,금융부문(해외채권),5.77,6.89,8.84,6087,3.47,6526,,,4.02,19886
2024-05,기금 전체,6.67,7.23,13.59,126715,5.04,138378,,,5.92,577999
2024-05,기타부문,0.65,1.56,2.09,28,1.22,50,,,1.48,269
2024-05,복지부문,0.98,1.04,0.94,2,-0.46,-3,,,5.74,601
2024-06,금융부문(국내주식),8.61,8.61,22.12,27438,0.21,957,,,6.53,105064
2024-06,금융부문(국내채권),1.66,2.98,7.4,24492,0.15,1519,,,3.61,175606
2024-06,금융부문(단기자금),2.99,2.99,4.23,181,1.63,197,,,3.18,1767
2024-06,금융부문(대체투자),7.79,7.79,5.8,8833,11.39,42870,,,9.28,88122
2024-06,금융부문(전체),9.73,10.21,13.61,126686,5.04,138331,,,5.88,558047
2024-06,금융부문(해외주식),20.47,20.47,23.89,59907,11.96,85556,,,11.04,167506
2024-06,금융부문(해외채권),7.95,8.93,8.84,6087,3.47,6526,,,4.02,19886
2024-06,기금 전체,9.71,10.2,13.59,126715,5.04,138378,,,5.92,577999
2024-06,기타부문,0.83,1.67,2.09,28,1.22,50,,,1.48,269
2024-06,복지부문,1.18,1.23,0.94,2,-0.46,-3,,,5.74,601
2024-07,금융부문(국내주식),7.62,7.62,22.12,27438,0.21,957,,,6.53,105064
2024-07,금융부문(국내채권),3.13,4.22,7.4,24492,0.15,1519,,,3.61,175606
2024-07,금융부문(단기자금),3.35,3.35,4.23,181,1.63,197,,,3.18,1767
2024-07,금융부문(대체투자),7.96,7.96,5.8,8833,11.39,42870,,,9.28,88122
2024-07,금융부문(전체),9.89,10.3,13.61,126686,5.04,138331,,,5.88,558047
2024-07,금융부문(해외주식),19.6,19.6,23.89,59907,11.96,85556,,,11.04,167506
2024-07,금융부문(해외채권),9.07,9.91,8.84,6087,3.47,6526,,,4.02,19886
2024-07,기금 전체,9.88,10.29,13.59,126715,5.04,138378,,,5.92,577999
2024-07,기타부문,0.95,1.64,2.09,28,1.22,50,,,1.48,269
2024-07,복지부문,1.41,1.45,0.94,2,-0.46,-3,,,5.74,601
2024-08,금융부문(국내주식),3.78,3.78,22.12,27438,0.21,957,,,6.53,105064
2024-08,금융부문(국내채권),3.21,4.08,7.4,24492,0.15,1519,,,3.61,175606
2024-08,금융부문(단기자금),2.8,2.8,4.23,181,1.63,197,,,3.18,1767
2024-08,금융부문(대체투자),5.49,5.49,5.8,8833,11.39,42870,,,9.28,88122
2024-08,금융부문(전체),8.77,9.09,13.61,126686,5.04,138331,,,5.88,558047
2024-08,금융부문(해외주식),19.22,19.22,23.89,59907,11.96,85556,,,11.04,167506
2024-08,금융부문(해외채권),6.89,7.54,8.84,6087,3.47,6526,,,4.02,19886
2024-08,기금 전체,8.76,9.08,13.59,126715,5.04,138378,,,5.92,577999
2024-08,기타부문,1.08,1.62,2.09,28,1.22,50,,,1.48,269
2024-08,복지부문,1.62,1.65,0.94,2,-0.46,-3,,,5.74,601
2024-09,금융부문(국내주식),0.46,0.46,22.12,27438,0.21,957,,,6.53,105064
2024-09,금융부문(국내채권),4.09,4.75,7.4,24492,0.15,1519,,,3.61,175606
2024-09,금융부문(단기자금),2.99,2.99,4.23,181,1.63,197,,,3.18,1767
2024-09,금융부문(대체투자),5.05,5.05,5.8,8833,11.39,42870,,,9.28,88122
2024-09,금융부문(전체),9.19,9.44,13.61,126686,5.04,138331,,,5.88,558047
2024-09,금융부문(해외주식),21.35,21.35,23.89,59907,11.96,85556,,,11.04,167506
2024-09,금융부문(해외채권),6.97,7.47,8.84,6087,3.47,6526,,,4.02,19886
2024-09,기금 전체,9.18,9.42,13.59,126715,5.04,138378,,,5.92,577999
2024-09,기타부문,1.23,1.64,2.09,28,1.22,50,,,1.48,269
2024-09,복지부문,1.83,1.86,0.94,2,-0.46,-3,,,5.74,601
2024-10,금융부문(국내주식),-0.87,-0.87,22.12,27438,0.21,957,,,6.53,105064
2024-10,금융부문(국내채권),3.96,4.4,7.4,24492,0.15,1519,,,3.61,175606
2024-10,금융부문(단기자금),4.33,4.33,4.23,181,1.63,197,,,3.18,1767
2024-10,금융부문(대체투자),8.9,8.9,5.8,8833,11.39,42870,,,9.28,88122
2024-10,금융부문(전체),11.35,11.53,13.61,126686,5.04,138331,,,5.88,558047
2024-10,금융부문(해외주식),26.52,26.52,23.89,59907,11.96,85556,,,11.04,167506
2024-10,금융부문(해외채권),10.32,10.87,8.84,6087,3.47,6526,,,4.02,19886
2024-10,기금 전체,11.34,11.52,13.59,126715,5.04,138378,,,5.92,577999
2024-10,기타부문,1.36,1.64,2.09,28,1.22,50,,,1.48,269
2024-10,복지부문,2.08,2.09,0.94,2,-0.46,-3,,,5.74,601
2024-11,금융부문(국내주식),-4.94,-4.94,22.12,27438,0.21,957,,,6.53,105064
2024-11,금융부문(국내채권),5.96,6.18,7.4,24492,0.15,1519,,,3.61,175606
2024-11,금융부문(단기자금),5.14,5.14,4.23,181,1.63,197,,,3.18,1767
2024-11,금융부문(대체투자),9.32,9.32,5.8,8833,11.39,42870,,,9.28,88122
2024-11,금융부문(전체),12.58,12.67,13.61,126686,5.04,138331,,,5.88,558047
2024-11,금융부문(해외주식),29.72,29.72,23.89,59907,11.96,85556,,,11.04,167506
2024-11,금융부문(해외채권),12.03,12.3,8.84,6087,3.47,6526,,,4.02,19886
2024-11,기금 전체,12.57,12.66,13.59,126715,5.04,138378,,,5.92,577999
2024-11,기타부문,1.49,1.63,2.09,28,1.22,50,,,1.48,269
2024-11,복지부문,2.28,2.29,0.94,2,-0.46,-3,,,5.74,601
2024-12,금융부문(국내주식),-6.94,-6.94,22.12,27438,-4.64,-20258,,,5.4,94824
2024-12,금융부문(국내채권),5.27,5.27,7.4,24492,2.35,23475,,,3.71,193217
2024-12,금융부문(단기자금),6.43,6.43,4.23,181,3.46,413,,,3.4,2030
2024-12,금융부문(대체투자),17.09,17.09,5.8,8833,10.99,49987,,,10.48,117657
2024-12,금융부문(전체),15.02,15.02,13.61,126686,6.99,206799,,,6.8,717728
2024-12,금융부문(해외주식),34.32,34.32,23.89,59907,16.5,139160,,,15.17,279603
2024-12,금융부문(해외채권),17.14,17.14,8.84,6087,7.55,16113,,,5.8,33196
2024-12,기금 전체,15.0,15.0,13.59,126715,6.98,206875,,,6.82,737711
2024-12,기타부문,2.14,2.14,2.09,28,1.79,72,,,1.52,297
2024-12,복지부문,1.06,1.06,0.94,2,0.59,3,,,5.65,603
2025-01,금융부문(국내주식),5.38,5.38,-6.94,-10240,-4.64,-20258,5.12,37577.0,5.4,94824
2025-01,금융부문(국내채권),0.83,3.21,5.27,17612,2.35,23475,1.49,24507.0,3.71,193217
2025-01,금융부문(단기자금),-0.95,-0.95,6.43,263,3.46,413,2.38,458.0,3.4,2030
2025-01,금융부문(대체투자),-1.9,-1.9,17.09,29535,10.99,49987,11.69,74513.0,10.48,117657
2025-01,금융부문(전체),0.85,1.65,15.02,159681,6.99,206799,8.14,370152.0,6.8,717728
2025-01,금융부문(해외주식),1.27,1.27,34.32,112097,16.5,139160,17.81,216101.0,15.17,279603
2025-01,금융부문(해외채권),-2.53,-0.73,17.14,13309,7.55,16113,6.39,19262.0,5.8,33196
2025-01,기금 전체,0.85,1.66,15.0,159712,6.98,206875,8.13,370233.0,6.82,737711
2025-01,기타부문,0.29,3.39,2.14,29,1.79,72,1.3,86.0,1.52,297
2025-01,복지부문,0.01,0.17,1.06,2,0.59,3,-0.55,-5.0,5.65,603
2025-02,금융부문(국내주식),6.49,6.49,-6.94,-10240,-4.64,-20258,5.12,37577.0,5.4,94824
2025-02,금융부문(국내채권),1.97,4.16,5.27,17612,2.35,23475,1.49,24507.0,3.71,193217
2025-02,금융부문(단기자금),-0.96,-0.96,6.43,263,3.46,413,2.38,458.0,3.4,2030
2025-02,금융부문(대체투자),-1.25,-1.25,17.09,29535,10.99,49987,11.69,74513.0,10.48,117657
2025-02,금융부문(전체),1.02,1.76,15.02,159681,6.99,206799,8.14,370152.0,6.8,717728
2025-02,금융부문(해외주식),-0.21,-0.21,34.32,112097,16.5,139160,17.81,216101.0,15.17,279603
2025-02,금융부문(해외채권),-0.53,1.23,17.14,13309,7.55,16113,6.39,19262.0,5.8,33196
2025-02,기금 전체,1.02,1.76,15.0,159712,6.98,206875,8.13,370233.0,6.82,737711
2025-02,기타부문,0.66,4.07,2.14,29,1.79,72,1.3,86.0,1.52,297
2025-02,복지부문,0.26,0.41,1.06,2,0.59,3,-0.55,-5.0,5.65,603
2025-03,금융부문(국내주식),4.97,4.97,-6.94,-10240,-4.64,-20258,5.12,37577.0,5.4,94824
2025-03,금융부문(국내채권),2.03,3.99,5.27,17612,2.35,23475,1.49,24507.0,3.71,193217
2025-03,금융부문(단기자금),-0.23,-0.23,6.43,263,3.46,413,2.38,458.0,3.4,2030
2025-03,금융부문(대체투자),1.32,1.32,17.09,29535,10.99,49987,11.69,74513.0,10.48,117657
2025-03,금융부문(전체),0.87,1.54,15.02,159681,6.99,206799,8.14,370152.0,6.8,717728
2025-03,금융부문(해외주식),-1.56,-1.56,34.32,112097,16.5,139160,17.81,216101.0,15.17,279603
2025-03,금융부문(해외채권),1.05,2.74,17.14,13309,7.55,16113,6.39,19262.0,5.8,33196
2025-03,기금 전체,0.87,1.54,15.0,159712,6.98,206875,8.13,370233.0,6.82,737711
2025-03,기타부문,1.0,4.06,2.14,29,1.79,72,1.3,86.0,1.52,297
2025-03,복지부문,0.51,0.62,1.06,2,0.59,3,-0.55,-5.0,5.65,603
2025-04,금융부문(국내주식),8.31,8.31,-6.94,-10240,-4.64,-20258,5.12,37577.0,5.4,94824
2025-04,금융부문(국내채권),3.26,5.0,5.27,17612,2.35,23475,1.49,24507.0,3.71,193217
2025-04,금융부문(단기자금),-0.8,-0.8,6.43,263,3.46,413,2.38,458.0,3.4,2030
2025-04,금융부문(대체투자),0.81,0.81,17.09,29535,10.99,49987,11.69,74513.0,10.48,117657
2025-04,금융부문(전체),0.92,1.51,15.02,159681,6.99,206799,8.14,370152.0,6.8,717728
2025-04,금융부문(해외주식),-3.22,-3.22,34.32,112097,16.5,139160,17.81,216101.0,15.17,279603
2025-04,금융부문(해외채권),0.08,1.58,17.14,13309,7.55,16113,6.39,19262.0,5.8,33196
2025-04,기금 전체,0.92,1.51,15.0,159712,6.98,206875,8.13,370233.0,6.82,737711
2025-04,기타부문,1.24,3.77,2.14,29,1.79,72,1.3,86.0,1.52,297
2025-04,복지부문,0.73,0.84,1.06,2,0.59,3,-0.55,-5.0,5.65,603
2025-05,금융부문(국내주식),14.83,14.83,-6.94,-10240,-4.64,-20258,5.12,37577.0,5.4,94824
2025-05,금융부문(국내채권),2.66,4.18,5.27,17612,2.35,23475,1.49,24507.0,3.71,193217
2025-05,금융부문(단기자금),-2.39,-2.39,6.43,263,3.46,413,2.38,458.0,3.4,2030
2025-05,금융부문(대체투자),-2.43,-2.43,17.09,29535,10.99,49987,11.69,74513.0,10.48,117657
2025-05,금융부문(전체),1.56,2.07,15.02,159681,6.99,206799,8.14,370152.0,6.8,717728
2025-05,금융부문(해외주식),-1.05,-1.05,34.32,112097,16.5,139160,17.81,216101.0,15.17,279603
2025-05,금융부문(해외채권),-4.39,-3.11,17.14,13309,7.55,16113,6.39,19262.0,5.8,33196
2025-05,기금 전체,1.56,2.07,15.0,159712,6.98,206875,8.13,370233.0,6.82,737711
2025-05,기타부문,0.64,1.54,2.14,29,1.79,72,1.3,86.0,1.52,297
2025-05,복지부문,0.72,0.79,1.06,2,0.59,3,-0.55,-5.0,5.65,603
2025-06,금융부문(국내주식),31.34,31.34,-6.94,-10240,-4.64,-20258,5.12,37577.0,5.4,94824
2025-06,금융부문(국내채권),2.34,3.64,5.27,17612,2.35,23475,1.49,24507.0,3.71,193217
2025-06,금융부문(단기자금),-2.39,-2.39,6.43,263,3.46,413,2.38,458.0,3.4,2030
2025-06,금융부문(대체투자),-2.86,-2.86,17.09,29535,10.99,49987,11.69,74513.0,10.48,117657
2025-06,금융부문(전체),4.08,4.52,15.02,159681,6.99,206799,8.14,370152.0,6.8,717728
2025-06,금융부문(해외주식),1.03,1.03,34.32,112097,16.5,139160,17.81,216101.0,15.17,279603
2025-06,금융부문(해외채권),-5.13,-4.04,17.14,13309,7.55,16113,6.39,19262.0,5.8,33196
2025-06,기금 전체,4.08,4.51,15.0,159712,6.98,206875,8.13,370233.0,6.82,737711
2025-06,기타부문,0.74,1.5,2.14,29,1.79,72,1.3,86.0,1.52,297
2025-06,복지부문,0.88,0.94,1.06,2,0.59,3,-0.55,-5.0,5.65,603
2025-07,금융부문(국내주식),38.61,38.61,-6.94,-10240,-4.64,-20258,5.12,37577.0,5.4,94824
2025-07,금융부문(국내채권),2.75,3.83,5.27,17612,2.35,23475,1.49,24507.0,3.71,193217
2025-07,금융부문(단기자금),-1.56,-1.56,6.43,263,3.46,413,2.38,458.0,3.4,2030
2025-07,금융부문(대체투자),-1.4,-1.4,17.09,29535,10.99,49987,11.69,74513.0,10.48,117657
2025-07,금융부문(전체),6.89,7.25,15.02,159681,6.99,206799,8.14,370152.0,6.8,717728
2025-07,금융부문(해외주식),5.21,5.21,34.32,112097,16.5,139160,17.81,216101.0,15.17,279603
2025-07,금융부문(해외채권),-2.97,-2.06,17.14,13309,7.55,16113,6.39,19262.0,5.8,33196
2025-07,기금 전체,6.88,7.24,15.0,159712,6.98,206875,8.13,370233.0,6.82,737711
2025-07,기타부문,0.84,1.45,2.14,29,1.79,72,1.3,86.0,1.52,297
2025-07,복지부문,1.07,1.12,1.06,2,0.59,3,-0.55,-5.0,5.65,603
2025-08,금융부문(국내주식),36.43,36.43,-6.94,-10240,-4.64,-20258,5.12,37577.0,5.4,94824
2025-08,금융부문(국내채권),2.85,3.71,5.27,17612,2.35,23475,1.49,24507.0,3.71,193217
2025-08,금융부문(단기자금),-0.73,-0.73,6.43,263,3.46,413,2.38,458.0,3.4,2030
2025-08,금융부문(대체투자),0.13,0.13,17.09,29535,10.99,49987,11.69,74513.0,10.48,117657
2025-08,금융부문(전체),8.23,8.51,15.02,159681,6.99,206799,8.14,370152.0,6.8,717728
2025-08,금융부문(해외주식),8.61,8.61,34.32,112097,16.5,139160,17.81,216101.0,15.17,279603
2025-08,금융부문(해외채권),-1.64,-0.92,17.14,13309,7.55,16113,6.39,19262.0,5.8,33196
2025-08,기금 전체,8.22,8.5,15.0,159712,6.98,206875,8.13,370233.0,6.82,737711
2025-08,기타부문,0.94,1.41,2.14,29,1.79,72,1.3,86.0,1.52,297
2025-08,복지부문,1.24,1.28,1.06,2,0.59,3,-0.55,-5.0,5.65,603
2025-09,금융부문(국내주식),47.3,47.3,-6.94,-10240,-4.64,-20258,5.12,37577.0,5.4,94824
2025-09,금융부문(국내채권),2.51,3.15,5.27,17612,2.35,23475,1.49,24507.0,3.71,193217
2025-09,금융부문(단기자금),0.39,0.39,6.43,263,3.46,413,2.38,458.0,3.4,2030
2025-09,금융부문(대체투자),1.46,1.46,17.09,29535,10.99,49987,11.69,74513.0,10.48,117657
2025-09,금융부문(전체),11.33,11.54,15.02,159681,6.99,206799,8.14,370152.0,6.8,717728
2025-09,금융부문(해외주식),12.95,12.95,34.32,112097,16.5,139160,17.81,216101.0,15.17,279603
2025-09,금융부문(해외채권),0.27,0.82,17.14,13309,7.55,16113,6.39,19262.0,5.8,33196
2025-09,기금 전체,11.31,11.53,15.0,159712,6.98,206875,8.13,370233.0,6.82,737711
2025-09,기타부문,1.04,1.39,2.14,29,1.79,72,1.3,86.0,1.52,297
2025-09,복지부문,1.41,1.44,1.06,2,0.59,3,-0.55,-5.0,5.65,603
2025-10,금융부문(국내주식),77.3,77.3,-6.94,-10240,-4.64,-20258,5.12,37577.0,5.4,94824
2025-10,금융부문(국내채권),1.91,2.34,5.27,17612,2.35,23475,1.49,24507.0,3.71,193217
2025-10,금융부문(단기자금),1.48,1.48,6.43,263,3.46,413,2.38,458.0,3.4,2030
2025-10,금융부문(대체투자),2.83,2.83,17.09,29535,10.99,49987,11.69,74513.0,10.48,117657
2025-10,금융부문(전체),16.65,16.79,15.02,159681,6.99,206799,8.14,370152.0,6.8,717728
2025-10,금융부문(해외주식),17.25,17.25,34.32,112097,16.5,139160,17.81,216101.0,15.17,279603
2025-10,금융부문(해외채권),2.76,3.13,17.14,13309,7.55,16113,6.39,19262.0,5.8,33196
2025-10,기금 전체,16.63,16.77,15.0,159712,6.98,206875,8.13,370233.0,6.82,737711
2025-10,기타부문,1.14,1.37,2.14,29,1.79,72,1.3,86.0,1.52,297
2025-10,복지부문,1.58,1.6,1.06,2,0.59,3,-0.55,-5.0,5.65,603
2025-11,금융부문(국내주식),70.07,,-6.94,-10240,-4.64,-20258,5.12,37577.0,5.4,94824
2025-11,금융부문(국내채권),0.73,,5.27,17612,2.35,23475,1.49,24507.0,3.71,193217
2025-11,금융부문(단기자금),2.25,,6.43,263,3.46,413,2.38,458.0,3.4,2030
2025-11,금융부문(대체투자),5.89,,17.09,29535,10.99,49987,11.69,74513.0,10.48,117657
2025-11,금융부문(전체),17.36,,15.02,159681,6.99,206799,8.14,370152.0,6.8,717728
2025-11,금융부문(해외주식),20.44,,34.32,112097,16.5,139160,17.81,216101.0,15.17,279603
2025-11,금융부문(해외채권),6.34,,17.14,13309,7.55,16113,6.39,19262.0,5.8,33196
2025-11,기금 전체,17.34,,15.0,159712,6.98,206875,8.13,370233.0,6.82,737711
2025-11,기타부문,1.27,,2.14,29,1.79,72,1.3,86.0,1.52,297
2025-11,복지부문,1.73,,1.06,2,0.59,3,-0.55,-5.0,5.65,603
2025-12,금융부문(국내주식),82.44,,-6.94,-10240,32.81,136610,14.8,110128.0,11.26,214235
2025-12,금융부문(국내채권),0.84,,5.27,17612,4.52,44863,1.32,21890.0,3.54,195977
2025-12,금융부문(단기자금),1.96,,6.43,263,4.06,540,2.63,556.0,3.29,2126
2025-12,금융부문(대체투자),8.03,,17.09,29535,10.3,55696,11.73,89734.0,10.08,134986
2025-12,금융부문(전체),18.84,,15.02,159681,16.07,517968,10.52,529613.0,8.05,949329
2025-12,금융부문(해외주식),19.74,,34.32,112097,25.41,259919,19.2,285568.0,16.06,367517
2025-12,금융부문(해외채권),3.77,,17.14,13309,9.62,22809,6.52,23248.0,5.52,36609
2025-12,기금 전체,18.82,,15.0,159712,16.05,518061,10.51,529724.0,8.04,969345
2025-12,기타부문,1.73,,2.14,29,1.98,82,1.51,104.0,1.54,323
2025-12,복지부문,3.69,,1.06,2,1.94,12,0.76,7.0,5.62,611
